developerid,name,city,administrativedivision,country,founding_year
18132,Cave,"Shinjuku, Tokyo",,Japan,1994
18133,Takara,,,,
18134,Handsome Dragon Games,,,,
18135,Ivory Tower,Lyon,,France,2007
18136,Pixelpointer Studios,,,,
18137,PigeonDev,,,,
18138,Blake Pierce,,,,
18139,e-visualsoft,,,,
18140,DarkLight,,,,
18141,Trophy Games ApS,,,,
18142,Nimbus Interactive,,,,
18143,Wonder Cult,,,,
18144,ExDream GmbH,,,,
18145,PCAndVR,,,,
18146,Landfall,,,,
18147,ARVORE Immersive Games Inc.,,,,
18148,Anunnaki s.r.l.,,,,
18149,XTeam Software Solutions srls,,,,
18150,Hail Mary Games,,,,
18151,2K Games,Novato,California,United States,2005
18152,toxtronyx interactive GmbH,,,,
18153,PIXOWL INC.,,,,
18154,Ideographer,,,,
18155,Veslo Games,,,,
18156,Headtrip Games llc,,,,
18157,Copychaser Games,,,,
18158,Virtro Entertainment,,,,
18159,Charm Games,,,,
18160,Crynosaurs,,,,
18161,Castle,,,,
18162,Magic Item Tech,,,,
18163,Mido Basim,,,,
18164,Connor O.R.T. Linning,,,,
18165,Project ICKX,,,,
18166,Sixth Line Studios,,,,
18167,Red Dev Studio S.A.,,,,
18168,Ludipe & Friends,,,,
18169,14Dimension Enterprise,,,,
18170,Coduar,,,,
18171,Nucleax,,,,
18172,Joey Sipos,,,,
18173,Recreat4,,,,
18174,Nordic Legacy,,,,
18175,Full Control Studios,,,,
18176,Rundisc,,,,
18177,Wytchlight,,,,
18178,Ganbarion,Fukuoka,,Japan,1999
18179,The Working Parts,,,,
18180,Devolver Digital,,,,
18181,Vectura Games,,,,
18182,Crystal Game Works,,,,
18183,Silky Smooth Studio,,,,
18184,Play365,,,,
18185,RISING GAME,,,,
18186,L2D,,,,
18187,Monochrome Paris,,,,
18188,Exkee,,,,
18189,Emanuele Leoncilli,,,,
18190,REX PEX GAMES,,,,
18191,KerboGames,,,,
18192,Graham Garven,,,,
18193,herun,,,,
18194,Colosse Team,,,,
18195,Daito,,,,
18196,purol,,,,
18197,RobProductions,,,,
18198,Lighthouse Interactive,,,,
18199,Keen Games,,,,
18200,Cliax Games,,,,
18201,Perchang,,,,
18202,Jardel Elias,,,,
18203,Triple Eh?,,,,
18204,Beyond Games,,,,
18205,Portcullis Games,,,,
18206,Goatee Games,,,,
18207,PillowPigGames,,,,
18208,Mosaic Mask Studios,,,,
18209,Flying Kiwi,,,,
18210,The Secret Pie,,,,
18211,TEAM HORAY,,,,
18212,gord10,,,,
18213,Touwaku Studio,,,,
18214,Burst2Flame Entertainment,,,,
18215,Sunscale Studios,,,,
18216,Oscar Brittain,,,,
18217,Ghost Fish Games,,,,
18218,Suminell Studios,,,,
18219,Erik Andronico,,,,
18220,McKay,,,,
18221,Novarama,Barcelona,,Spain,2003
18222,Adam Mowery,,,,
18223,Visco,,,,
18224,Naughty Dog,Santa Monica,California,United States,1986
18225,Space Lizard Studio LTD,,,,
18226,Anime Games,,,,
18227,juhbeedesigns,,,,
18228,Witching Hour Studios,,,,
18229,Ninja Theory,Cambridge,England,United Kingdom,2000
18230,Bishop Armstrong,,,,
18231,Pyromancers.com,,,,
18232,"Amber Garage, Inc.",,,,
18233,Alpha Code Inc.,,,,
18234,Evocat Games,,,,
18235,AndAll Interactive,,,,
18236,Aleksei Milchakov,,,,
18237,Black Wing Foundation,Dnipro,,Ukraine,2006
18238,Mad Devices,,,,
18239,Ivanovich Games,,,,
18240,Mr Alpaca Games,,,,
18241,SlimeQ,,,,
18242,ARTWARE Multimedia,,,,
18243,Viny Game Studios,,,,
18244,NewFort Studios,,,,
18245,Fatih KAYA,,,,
18246,Theodore Palser,,,,
18247,Mighty Games,,,,
18248,Xibalba Studios,,,,
18249,SITER SKAIN,,,,
18250,Team Junkfish,,,,
18251,Stainless Games Ltd.,,,,
18252,Mohawk Games,,,,
18253,Bizzy,,,,
18254,Pentagrammical Justice,,,,
18255,ColtGames,,,,
18256,Duskroad Games,,,,
18257,Zhu Feng,,,,
18258,Tatyana Murzina,,,,
18259,Underdog Games,,,,
18260,Joie Liba,,,,
18261,JoyfulStudio,,,,
18262,in Principle Games,,,,
18263,Snapjaw Games GmbH,,,,
18264,Sanuk Games,,,,
18265,Dark Day Interactive,,,,
18266,Qumaron,,,,
18267,Hothouse Creations Ltd,,,,
18268,Good Day Games,,,,
18269,Jean-Baptiste Simillon,,,,
18270,Cosmillica,,,,
18271,Atapki,,,,
18272,Laughing Jackal LTD,,,,
18273,4 Dimension Games,,,,
18274,Squeaky Wheel Studio Inc,,,,
18275,tamationgames,,,,
18276,Funky Logic Studios,,,,
18277,Kiwa Games,,,,
18278,uloongsoft,,,,
