developerid,name,city,administrativedivision,country,founding_year
278,Imageepoch,Tokyo,,Japan,2005
279,Image & Form,Gothenburg,,Sweden,1997
280,Imagineer,Tokyo,,Japan,1986
281,Infinity Ward,Woodland Hills,California,United States,2002
282,Infocom,Cambridge,Massachusetts,United States,1979
283,Incognito Entertainment,Salt Lake City,Utah,United States,1999
284,Incredible Technologies,Arlington Heights,Illinois,United States,1985
285,indieszero,Musashino,,Japan,1997
286,Innerloop Studios,Oslo,,Norway,1996
287,Insomniac Games,Burbank,California,United States,1994
288,Intelligent Systems,Tokyo,,Japan,1986
289,Interplay Entertainment,Beverly Hills,California,United States,1983
290,Introversion Software,London,England,United Kingdom,2002
291,inXile Entertainment,Newport Beach,California,United States,2002
292,IO Interactive,Copenhagen,,Denmark,1998
293,Ion Storm,Dallas,Texas,United States,1996
294,Ion Storm Austin,Austin,Texas,United States,1997
295,Irem,Hakusan,,Japan,1974
296,Iron Galaxy Studios,Chicago,Illinois,United States,2008
297,Iron Lore Entertainment,Maynard,Massachusetts,United States,2000
298,Irrational Games,Quincy,Massachusetts,United States,1996
299,Ivory Tower,Lyon,,France,2007
300,Jadestone Group,Stockholm,,Sweden,2000
301,Jagex,Cambridge,England,United Kingdom,2001
302,Jaleco,Tokyo,,Japan,1974
303,Jam City,Los Angeles,California,United States,2007
304,Javaground,Irvine,Massachusetts,United States,2001
305,Jupiter,Kyoto,,Japan,1996
306,JV Games,Las Vegas,Nevada,United States,1999
307,Kairosoft,Tokyo,,Japan,1996
308,Kalypso Media,Worms,,Germany,2006
309,Kaos Studios,New York City,New York,United States,2006
310,Keen Software House,Prague,,Czech Republic,2010
311,Kesmai,Charlottesville,Virginia,United States,1981
312,Kiloo Games,Aarhus,,Denmark,2000
313,King,Stockholm,,Sweden,2003
314,Koei Tecmo Games (formerly Koei),Ashikaga,,Japan,1978
315,KOG Studios,Seoul,,South Korea,2000
316,Kojima Productions,Tokyo,,Japan,2005
317,Konami,Tokyo MidtownMinato,,Japan,1969
318,Kongzhong,Beijing,,China,2002
319,Krome Studios,Brisbane,Queensland,Australia,1999
320,Krome Studios Melbourne,Melbourne,Victoria,Australia,1988
321,Kuju Entertainment,Shalford,England,United Kingdom,1998
322,Kunos Simulazioni,Rome,,Italy,2005
323,Kush Games,Camarillo,California,United States,1998
324,Kuma Reality Games,New York City,New York,United States,2003
325,Kylotonn,Paris,,France,2002
326,Larian Studios,Oudenaarde,,Belgium,1996
327,Legacy Interactive,Los Angeles,California,United States,1998
328,Legend Entertainment,Chantilly,Virginia,United States,1989
329,Legendo Entertainment,Gothenburg,,Sweden,2004
330,Level-5,Fukuoka,,Japan,1998
331,Lift London,London,England,United Kingdom,2012
332,Limbic Entertainment,Langen,,Germany,2002
333,Lionhead Studios,Guildford,England,United Kingdom,1997
334,Liquid Entertainment,Pasadena,California,United States,1999
335,Little Green Men Games,Zagreb,,Croatia,2006
336,LK Avalon,"Świlcza, Rzeszów",,Poland,1989
337,Llamasoft,Reading,England,United Kingdom,1982
338,Linden Lab,San Francisco,California,United States,1999
339,Locomotive Games,Santa Clara,California,United States,1997
340,Looking Glass Studios,Cambridge,Massachusetts,United States,1990
341,Love-de-Lic,Tokyo,,Japan,1995
342,LucasArts,San Francisco,California,United States,1982
343,Luma Arcade,Johannesburg,,South Africa,2006
344,Luxoflux,Santa Monica,California,United States,1998
345,MachineGames,Uppsala,,Sweden,2009
346,Magenta Software,Liverpool,England,United Kingdom,1994
347,MAGES.,"Shibuya, Tokyo",,Japan,2005
348,Majesco Entertainment,Edison,New Jersey,United States,1986
349,Marvelous,"Shibuya, Tokyo",,Japan,1997
350,Massive Entertainment,Malmö,,Sweden,1997
351,Masthead Studios,Sofia,,Bulgaria,2005
352,Matrix Software,Tokyo,,Japan,1994
353,Maxis,Emeryville,California,United States,1987
354,Mean Hamster Software,Deer Park,Washington,United States,1985
355,Media Molecule,Guildford,England,United Kingdom,2006
356,Media.Vision,Tokyo,,Japan,1993
357,Mediatonic,London,England,United Kingdom,2005
358,MegaZebra,Munich,,Germany,2009
359,Mercury Steam,Madrid,,Spain,2002
360,Metropolis Software,Warsaw,,Poland,1992
361,MicroProse Software,Hunt Valley,Maryland,United States,1982
362,Microsoft Games Studio,Redmond,Washington,United States,2013
363,Microsoft,Redmond,Washington,United States,2013
364,Midway Games,Chicago,Illinois,United States,1988
365,Midway Studios – Newcastle,Gateshead,England,United Kingdom,1996
366,miHoYo,Shanghai,,China,2012
367,Milestone,"Suginami, Tokyo",,Japan,2003
368,Milestone srl,Milan,,Italy,1996
369,Mimimi Games,Munich,,Germany,2011
370,Mistwalker,Tokyo,,Japan,2004
371,Mitchell Corporation,Tokyo,,Japan,1960
372,MLB Advanced Media,New York City,New York,United States,2000
373,Mode 7 Games,Brighton,East Sussex,United Kingdom,2005
374,Mojang AB,Stockholm,,Sweden,2009
375,Monolith Productions,Kirkland,Washington,United States,1994
376,Monolith Soft,Tokyo,,Japan,1999
377,Monster Games,Northfield,Minnesota,United States,1996
378,Monte Cristo,Paris,,France,1995
379,Moon Studios,Vienna,,Austria,2010
380,MTO,Yokohama,,Japan,1996
381,Mythic Entertainment,Fairfax,Virginia,United States,1995
382,Nadeo,Paris,,France,2000
383,Namco Tales Studio,Tokyo,,Japan,1986
384,Namco,Tokyo,,Japan,1986
385,Namco Bandai,Tokyo,,Japan,1986
386,Nanobit,Zagreb,,Croatia,2008
387,NAPS team,Messina,,Italy,1993
388,Natsume,"Shinjuku, Tokyo",,Japan,1987
389,NaturalMotion,London,England,United Kingdom,2001
390,Naughty Dog,Santa Monica,California,United States,1986
391,NCSoft,Seoul,,South Korea,1997
392,NDcube,Tokyo,,Japan,2000
393,NDOORS Corporation,Seoul,,South Korea,1999
394,Neko Entertainment,Montreuil-sous-Bois,,France,1998
395,Nerve Software,Richardson,Texas,United States,1999
396,NetDevil,Louisville,Colorado,United States,1997
397,NetDragon Websoft,Fuzhou,,China,1999
398,NetEase,Guangzhou,,China,1997
399,NetherRealm Studios,Chicago,Illinois,United States,2010
400,Neverland,Tokyo,,Japan,1993
401,Neversoft,Woodland Hills,California,United States,1994
402,Nevosoft,St. Petersburg,,Russia,2002
403,New World Computing,Agoura Hills,California,United States,1984
404,New World Interactive,Denver,Colorado,United States,2010
405,NexonNexon Korea,TokyoSeoul,,JapanSouth Korea,2002
406,Next Level Games,Vancouver,British Columbia,Canada,2002
407,Niantic,San Francisco,California,United States,2010
408,Nibris,Kraków,,Poland,2000
409,Nicalis,Santa Ana,California,United States,2007
410,Nihon Falcom,Tokyo,,Japan,1981
411,Nikita Online,St. Petersburg,,Russia,1991
412,Nimble Giant Entertainment,Buenos Aires,,Argentina,2002
413,Ninjabee,Orem,Utah,United States,2005
414,Ninja Theory,Cambridge,England,United Kingdom,2000
415,Nintendo,Kyoto,,Japan,1889
416,Nippon Ichi Software,Kakamigahara,,Japan,1991
417,Nival,St. Petersburg,,Russia,1996
418,Nordeus,Belgrade,,Serbia,2009
419,NovaLogic,Agoura Hills,California,United States,1985
420,Novarama,Barcelona,,Spain,2003
421,Now Production,Osaka,,Japan,1986
422,Nude Maker,Tokyo,,Japan,2002
423,n-Space,Orlando,Florida,United States,1994
424,Obsidian Entertainment,Irvine,California,United States,2004
425,Oddworld Inhabitants,San Luis Obispo,California,United States,1994
426,Omega Force,Ashikaga,,Japan,1997
427,Origin Systems,Austin,Texas,United States,1983
428,OtherSide Entertainment,Boston,Massachusetts,United States,2013
429,Outfit7,Ljubljana,,Slovenia,2010
